LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott3596063,Perdicula erythrorhyncha
ott3596065,Perdicula manipurensis
ott3596083,Ophrysia superciliosa
ott681139,Pternistis hartlaubi
ott1080970,Pternistis camerunensis
ott1080967,Pternistis nobilis
ott1080982,Pternistis castaneicollis
ott676799,Pternistis erckelii
ott894196,Pternistis ochropectus
ott199231,Pternistis swierstrai
ott3596042,Pternistis ahantensis
ott554509,Pternistis griseostriatus
ott995034,Pternistis jacksoni
ott681160,Pternistis adspersus
ott681142,Pternistis capensis
ott55592,Pternistis natalensis
ott681136,Pternistis hildebrandti
ott681145,Pternistis bicalcaratus
ott55574,Pternistis squamatus
ott1080979,Pternistis icterorhynchus
ott1080976,Pternistis clappertoni
ott1080973,Pternistis harwoodi
ott55577,Pternistis swainsonii
ott914709,Pternistis leucoscepus
ott606691,Pternistis rufopictus
ott676791,Pternistis afer
ott960220,Phoenicopterus chilensis
ott443650,Phoenicopterus ruber
ott595567,Phoenicopterus roseus
ott1030753,Phoeniconaias minor
ott1030749,Phoenicoparrus andinus
ott1030759,Phoenicoparrus jamesi
ott547308,Rollandia rolland
ott3595555,Rollandia microptera
ott3595557,Tachybaptus rufolavatus
ott1010578,Tachybaptus ruficollis
ott299429,Tachybaptus novaehollandiae
ott3595559,Tachybaptus pelzelnii
ott299432,Tachybaptus dominicus
ott962399,Podilymbus podiceps
ott3595556,Podilymbus gigas
ott3595580,Poliocephalus poliocephalus
ott3595582,Poliocephalus rufopectus
ott1023132,Podiceps major
ott726164,Podiceps auritus
ott740071,Podiceps grisegena
ott92263,Podiceps cristatus
ott651477,Podiceps nigricollis
ott3595575,Podiceps andinus
ott3595565,Podiceps occipitalis
ott3595567,Podiceps taczanowskii
ott799136,Podiceps gallardoi
ott758343,Aechmophorus occidentalis
ott1064229,Aechmophorus clarkii
ott938416,Columba livia
ott320359,Columba rupestris
ott3596509,Columba leuconota
ott767317,Columba guinea
ott3596497,Columba albitorques
ott921832,Columba oenas
ott3596494,Columba eversmanni
ott3596482,Columba oliviae
ott938408,Columba palumbus
ott3596481,Columba trocaz
ott493986,Columba bollii
ott3596500,Columba unicincta
ott777973,Columba junoniae
ott277817,Columba arquatrix
ott3596511,Columba sjostedti
ott3596505,Columba thomensis
ott3596503,Columba delegorguei
ott3596485,Columba iriditorques
ott3596490,Columba malherbii
ott6520316,Columba thiriouxi
ott3596504,Columba pollenii
ott3596498,Columba hodgsonii
ott3596512,Columba albinucha
ott277814,Columba pulchricollis
ott3596483,Columba elphinstonii
ott3596506,Columba torringtoniae
ott3596502,Columba punicea
ott3596492,Columba argentina
ott3596501,Columba palumboides
ott87904,Columba janthina
ott3596499,Columba jouyi
ott3596489,Columba versicolor
ott51607,Columba vitiensis
ott3596508,Columba leucomela
ott3596484,Columba pallidiceps
ott3596487,Aplopelia larvata
ott722911,Patagioenas cayennensis
ott773509,Patagioenas speciosa
ott773506,Patagioenas squamosa
ott773505,Patagioenas picazuro
ott3596657,Patagioenas corensis
ott773522,Patagioenas maculosa
ott773513,Patagioenas leucocephala
ott722913,Patagioenas flavirostris
ott96873,Patagioenas inornata
ott148378,Patagioenas fasciata
ott722910,Patagioenas araucana
ott3596655,Patagioenas caribaea
ott96875,Patagioenas oenops
ott96866,Patagioenas plumbea
ott671165,Patagioenas subvinacea
ott45505,Patagioenas nigrirostris
ott3596656,Patagioenas goodsoni
ott506098,Ectopistes migratorius
ott801227,Nesoenas picturatus
ott799324,Nesoenas mayeri
ott6520314,Nesoenas cicur
ott6520313,Nesoenas rodericanus
ott801237,Streptopelia turtur
ott3596480,Streptopelia lugens
ott277811,Streptopelia hypopyrrha
ott549523,Streptopelia orientalis
ott555900,Streptopelia bitorquata
ott6151277,Streptopelia dusumieri
ott277818,Streptopelia decaocto
ott801233,Streptopelia roseogrisea
ott3596478,Streptopelia reichenowi
ott277810,Streptopelia decipiens
ott801232,Streptopelia semitorquata
ott244134,Streptopelia capicola
ott801240,Streptopelia vinacea
ott801238,Streptopelia tranquebarica
ott329078,Spilopelia chinensis
ott244136,Spilopelia senegalensis
ott3596628,Macropygia unchall
ott358718,Macropygia phasianella
ott7659210,Macropygia macassariensis
ott3596627,Macropygia magna
ott6151238,Macropygia timorlaoensis
ott956246,Macropygia amboinensis
ott7659205,Macropygia doreya
ott3596625,Macropygia rufipennis
ott277823,Macropygia tenuirostris
ott3596626,Macropygia emiliana
ott7659204,Macropygia cinnamomea
ott7659212,Macropygia modiglianii
ott414979,Macropygia nigrirostris
ott277822,Macropygia mackinlayi
ott3596629,Macropygia ruficeps
ott3596474,Reinwardtoena reinwardti
ott801226,Reinwardtoena browni
ott3596476,Reinwardtoena crassirostris
ott430168,Turacoena manadensis
ott7659238,Turacoena sulaensis
ott3596514,Turacoena modesta
ott1077424,Turtur chalcospilos
ott3596530,Turtur abyssinicus
ott931107,Turtur afer
ott150851,Turtur tympanistria
ott527660,Turtur brehmeri
ott975892,Oena capensis
ott1032049,Chalcophaps indica
ott3596523,Chalcophaps longirostris
ott1077422,Chalcophaps stephani
ott956249,Henicophaps albifrons
ott3596513,Henicophaps foersteri
ott17164,Pampusana hoedtii
ott7659142,Pampusana stairi
ott538002,Pampusana sanctaecrucis
ott3596519,Pampusana salamonis
ott6520261,Pampusana ferruginea
ott550862,Pampusana beccarii
ott17148,Pampusana canifrons
ott380071,Pampusana jobiensis
ott537999,Pampusana rubescens
ott538008,Pampusana kubaryi
ott538006,Pampusana erythroptera
ott538011,Pampusana xanthonura
ott6520260,Pampusana norfolkensis
ott28965,Phaps chalcoptera
ott3596603,Phaps elegans
ott3596604,Phaps histrionica
ott392967,Ocyphaps lophotes
ott147369,Geophaps plumifera
ott3596659,Geophaps scripta
ott3596658,Geophaps smithii
ott3596664,Petrophassa rufipennis
ott956245,Petrophassa albipennis
ott358714,Leucosarcia melanoleuca
ott449654,Geopelia cuneata
ott956251,Geopelia striata
ott3596612,Geopelia placida
ott3596614,Geopelia maugeus
ott3596611,Geopelia humeralis
ott846250,Columbina inca
ott157208,Columbina passerina
ott54386,Columbina minuta
ott388536,Columbina talpacoti
ott3596517,Columbina buckleyi
ott28925,Columbina squammata
ott54405,Columbina picui
ott1032048,Columbina cruziana
ott3596516,Columbina cyanopis
ott604964,Claravis pretiosa
ott3596630,Paraclaravis mondetoura
ott3596632,Paraclaravis geoffroyi
ott143598,Metriopelia ceciliae
ott550855,Metriopelia morenoi
ott414969,Metriopelia melanoptera
ott414980,Metriopelia aymara
ott430170,Uropelia campestris
ott3596672,Starnoenas cyanocephala
ott642130,Geotrygon purpurata
ott189782,Geotrygon saphirina
ott392934,Geotrygon versicolor
ott664480,Geotrygon montana
ott50388,Geotrygon violacea
ott3596617,Geotrygon caniceps
ott3596616,Geotrygon leucometopia
ott3596620,Geotrygon chrysia
ott3596615,Geotrygon mystacea
ott642132,Leptotrygon veraguensis
ott244144,Leptotila verreauxi
ott767308,Leptotila jamaicensis
ott602973,Leptotila cassinii
ott3596606,Leptotila conoveri
ott3596608,Leptotila ochraceiventris
ott244142,Leptotila plumbeiceps
ott534763,Leptotila rufaxilla
ott3596607,Leptotila wellsi
ott3596605,Leptotila pallida
ott664453,Leptotila megalura
ott3596618,Zentrygon carrikeri
ott602971,Zentrygon costaricensis
ott120591,Zentrygon lawrencii
ott602976,Zentrygon albifacies
ott414983,Zentrygon frenata
ott3596619,Zentrygon linearis
ott602978,Zentrygon chiriquensis
ott120593,Zentrygon goldmani
ott853670,Zenaida meloda
ott715580,Zenaida asiatica
ott873995,Zenaida aurita
ott329066,Zenaida galapagoensis
ott873990,Zenaida auriculata
ott183576,Zenaida macroura
ott329068,Zenaida graysoni
ott1032058,Caloenas nicobarica
ott3596529,Caloenas maculata
ott455687,Raphus cucullatus
ott455685,Pezophaps solitaria
ott392935,Gallicolumba tristigmata
ott538000,Gallicolumba rufigula
ott538010,Gallicolumba platenae
ott538007,Gallicolumba keayi
ott3596518,Gallicolumba menagei
ott981610,Gallicolumba luzonica
ott17146,Gallicolumba crinigera
ott3596683,Microgoura meeki
ott956253,Trugon terrestris
ott543760,Otidiphaps nobilis
ott1026076,Goura cristata
ott7068117,Goura sclaterii
ott3596621,Goura scheepmakeri
ott392933,Goura victoria
ott506109,Didunculus strigirostris
ott244138,Phapitreron leucotis
ott430171,Phapitreron amethystinus
ott3596624,Phapitreron brunneiceps
ott3596623,Phapitreron cinereiceps
ott3596635,Treron olax
ott329083,Treron vernans
ott3596649,Treron fulvicollis
ott3596645,Treron bicinctus
ott979983,Treron pompadora
ott3596653,Treron affinis
ott3596648,Treron chloropterus
ott3596654,Treron phayrei
ott6520312,Treron axillaris
ott3596639,Treron aromaticus
ott3596642,Treron curvirostra
ott3596646,Treron griseicauda
ott3596652,Treron teysmannii
ott3596641,Treron floris
ott3596640,Treron psittaceus
ott3596636,Treron capellei
ott3596650,Treron phoenicopterus
ott931105,Treron waalia
ott6520311,Treron griveaudi
ott931106,Treron australis
ott3596643,Treron pembaensis
ott3596651,Treron sanctithomae
ott3596647,Treron seimundi
ott3596637,Treron apicauda
